"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","9V_Battery","","","","",""
"C1","1","2.2u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C2","1","22u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C3","1","0.01u","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C4","1","47u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"D1","1","LED","","","","LED_THT:LED_D3.0mm",""
"D2","1","1N4001","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1","1","IN","","","","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"J2","1","OUT","","","","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"J3","1","DC","","","","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"J4","1","LED-","","","","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"Q1,Q2","2","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1","1","33K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2","1","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","1","4.7k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R4","1","100K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"RV1","1","B1K","","","","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal",""
"RV2","1","A500K","","","","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal",""
"RV3","1","10K","","","","MyLibrary:BOURNS-3362P_pot",""
